Ready to run with 10 latency at 2000uS sample rate
ualarm ON
2	0	0	600	-1916
4	0	0	600	-28
6	0	0	600	-3
8	865	0	600	1
10	839	0	600	2
12	0	0	600	-1
14	0	0	600	-1
16	0	0	600	-1
18	0	0	600	1
20	0	0	600	422
22	0	0	600	-420
24	0	0	600	-2
26	0	0	600	-1
28	867	0	600	1
30	0	0	600	0
32	0	0	600	0
34	0	0	600	-1
36	0	0	600	0
38	0	0	600	1
40	0	0	600	2
42	768	0	600	-2
44	0	0	600	0
46	0	0	600	-1
48	864	0	600	1
50	864	0	600	2
52	0	0	600	-2
54	0	0	600	0
56	0	0	600	-1
58	0	0	600	1
60	0	0	600	0
62	0	0	600	0
64	0	0	600	0
66	0	0	600	-1
68	995	0	600	1
70	0	0	600	2
72	896	0	600	-2
74	0	0	600	0
76	0	0	600	-1
78	0	0	600	1
80	0	0	600	2
82	0	0	600	-16
84	792	0	600	-1
86	931	0	600	0
88	993	0	600	0
90	0	0	600	0
92	896	0	600	0
94	0	0	600	1
96	849	0	600	-1
98	0	0	600	0
100	838	0	600	1
102	896	0	600	0
104	895	0	600	-1
106	799	0	600	0
108	999	0	600	0
110	975	0	600	1
112	924	0	600	0
114	0	0	600	-1
116	0	0	600	0
118	820	0	600	1
120	0	0	600	0
122	935	0	600	0
124	920	0	600	0
126	800	0	600	-1
128	992	0	600	1
130	991	0	600	0
132	911	0	600	0
134	862	0	600	0
136	0	0	600	-1
138	825	0	600	1
140	0	0	600	5
142	952	0	600	-5
144	787	0	600	0
146	783	0	600	-1
148	960	0	600	1
150	974	0	600	0
152	925	0	600	0
154	847	0	600	0
156	0	0	600	-1
158	0	0	600	1
160	835	0	600	1
162	886	0	600	-1
164	768	0	600	0
166	0	0	600	-1
168	990	0	600	1
170	963	0	600	1
172	0	0	600	-1
174	864	0	600	0
176	0	0	600	0
178	866	0	600	0
180	840	0	600	0
182	896	0	600	0
184	783	0	600	0
186	803	0	600	-1
188	993	0	600	1
190	1019	0	600	1
192	0	0	600	-1
194	864	0	600	0
196	0	0	600	0
198	833	0	600	0
200	839	0	600	1
202	895	0	600	-1
204	792	0	600	0
206	799	0	600	0
208	988	0	600	0
210	1018	0	600	1
212	0	0	600	-1
214	0	0	600	0
216	847	0	600	0
218	0	0	600	0
220	837	0	600	0
222	836	0	600	0
224	785	0	600	0
226	799	0	600	0
228	992	0	600	0
230	0	0	600	2
232	0	0	600	-1
234	863	0	600	-1
236	844	0	600	0
238	832	0	600	0
240	831	0	600	0
242	912	0	600	0
244	783	0	600	0
246	803	0	600	0
248	967	0	600	1
250	967	0	600	1
252	0	0	600	-1
254	0	0	600	0
256	0	0	600	-1
258	831	0	600	1
260	828	0	600	0
262	0	0	600	0
264	792	0	600	-1
266	801	0	600	0
268	979	0	600	1
270	974	0	600	0
272	871	0	600	0
274	856	0	600	0
276	0	0	600	-1
278	817	0	600	1
280	823	0	600	6
282	0	0	600	-6
284	787	0	600	0
286	796	0	600	0
288	979	0	600	0
290	0	0	600	2
292	0	0	600	-2
294	857	0	600	0
296	0	0	600	-1
298	835	0	600	1
300	825	0	600	0
302	899	0	600	0
304	785	0	600	0
306	799	0	600	-1
308	991	0	600	1
310	1022	0	600	1
312	767	0	600	-1
